Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,cogs,gross income,Rating,Payment_Credit card,Payment_Ewallet,City_Naypyitaw,City_Yangon
750-67-8428,Alex,0,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,,522.83,26.1415,9.1,False,True,False,True
226-31-3081,Giza,1,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,,76.4,3.82,9.6,False,False,True,False
631-41-3108,Alex,1,Female,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,,324.31,16.2155,7.4,True,False,False,True
123-19-1176,Alex,0,Female,Health and beauty,58.22,8,23.288,489.048,2019-01-27,,465.76,23.288,8.4,False,True,False,True
373-73-7910,Alex,0,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,,604.17,30.2085,5.3,False,True,False,True
699-14-3026,Giza,0,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,,597.73,29.8865,4.1,False,True,True,False
355-53-5943,Alex,0,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,,413.04,20.652,5.8,False,True,False,True
315-22-5665,Giza,0,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,,735.6,36.78,8.0,False,True,True,False
665-32-9167,Alex,0,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,,72.52,3.626,7.2,True,False,False,True
692-92-5582,Cairo,0,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,,164.52,8.226,5.9,True,False,False,False
351-62-0822,Cairo,0,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,,57.92,2.896,4.5,False,True,False,False
529-56-3974,Cairo,0,Female,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,,102.04,5.102,6.8,False,False,False,False
365-64-0515,Alex,0,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,,234.75,11.7375,7.1,False,True,False,True
252-56-2699,Alex,0,Female,Food and beverages,43.19,10,21.595,453.495,2019-02-07,,431.9,21.595,8.2,False,True,False,True
829-34-3910,Alex,0,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,,713.8,35.69,5.7,False,False,False,True
299-46-1805,Cairo,0,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,,562.32,28.116,4.5,False,False,False,False
656-95-9349,Alex,0,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,,482.51,24.1255,4.6,True,False,False,True
