Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,cogs,gross income,Rating,Payment_Credit card,Payment_Ewallet,City_Naypyitaw,City_Yangon,CustomerType_lbl
750-67-8428,Alex,0,Female,Health and beauty,74.69,7,26.1415,548.9715,01-05-19,1:08:00 PM,522.83,26.1415,9.1,False,True,False,True,Member
226-31-3081,Giza,1,Female,Electronic accessories,15.28,5,3.82,80.22,03-08-19,10:29:00 AM,76.4,3.82,9.6,False,False,True,False,Normal
631-41-3108,Alex,1,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-19,1:23:00 PM,324.31,16.2155,7.4,True,False,False,True,Normal
123-19-1176,Alex,0,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2019,8:33:00 PM,465.76,23.288,8.4,False,True,False,True,Member
373-73-7910,Alex,0,Female,Sports and travel,86.31,7,30.2085,634.3785,02-08-19,10:37:00 AM,604.17,30.2085,5.3,False,True,False,True,Member
699-14-3026,Giza,0,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,6:30:00 PM,597.73,29.8865,4.1,False,True,True,False,Member
355-53-5943,Alex,0,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,413.04,20.652,5.8,False,True,False,True,Member
315-22-5665,Giza,0,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38:00 AM,735.6,36.78,8.0,False,True,True,False,Member
665-32-9167,Alex,0,Female,Health and beauty,36.26,2,3.626,76.146,01-10-19,5:15:00 PM,72.52,3.626,7.2,True,False,False,True,Member
692-92-5582,Cairo,0,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,1:27:00 PM,164.52,8.226,5.9,True,False,False,False,Member
351-62-0822,Cairo,0,Female,Fashion accessories,14.48,4,2.896,60.816,02-06-19,6:07:00 PM,57.92,2.896,4.5,False,True,False,False,Member
529-56-3974,Cairo,0,Female,Electronic accessories,25.51,4,5.102,107.142,03-09-19,5:03:00 PM,102.04,5.102,6.8,False,False,False,False,Member
365-64-0515,Alex,0,Female,Electronic accessories,46.95,5,11.7375,246.4875,02-12-19,10:25:00 AM,234.75,11.7375,7.1,False,True,False,True,Member
252-56-2699,Alex,0,Female,Food and beverages,43.19,10,21.595,453.495,02-07-19,4:48:00 PM,431.9,21.595,8.2,False,True,False,True,Member
829-34-3910,Alex,0,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21:00 PM,713.8,35.69,5.7,False,False,False,True,Member
299-46-1805,Cairo,0,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,4:19:00 PM,562.32,28.116,4.5,False,False,False,False,Member
656-95-9349,Alex,0,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-19,11:03:00 AM,482.51,24.1255,4.6,True,False,False,True,Member
765-26-6951,Alex,0,Female,Sports and travel,72.61,6,21.783,457.443,01-01-19,10:39:00 AM,435.66,21.783,6.9,True,False,False,True,Member
329-62-1586,Alex,0,Female,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,6:00:00 PM,164.01,8.2005,8.6,True,False,False,True,Member
319-50-3348,Cairo,0,Female,Home and lifestyle,40.3,2,4.03,84.63,03-11-19,3:30:00 PM,80.6,4.03,4.4,False,True,False,False,Member
300-71-4605,Giza,0,Female,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24:00 AM,430.2,21.51,4.8,False,True,True,False,Member
371-85-5789,Cairo,0,Female,Health and beauty,87.98,3,13.197,277.137,03-05-19,10:40:00 AM,263.94,13.197,5.1,False,True,False,False,Member
273-16-6619,Cairo,0,Female,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20:00 PM,66.4,3.32,4.4,True,False,False,False,Member
636-48-8204,Alex,0,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00 AM,172.8,8.64,9.9,False,True,False,True,Member
549-59-1358,Alex,0,Female,Sports and travel,88.63,3,13.2945,279.1845,03-02-19,5:36:00 PM,265.89,13.2945,6.0,False,True,False,True,Member
227-03-5010,Alex,0,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,7:20:00 PM,420.72,21.036,8.5,True,False,False,True,Member
649-29-6775,Cairo,0,Female,Fashion accessories,33.52,1,1.676,35.196,02-08-19,3:31:00 PM,33.52,1.676,6.7,False,False,False,False,Member
189-17-4241,Alex,0,Female,Fashion accessories,87.67,2,8.767,184.107,03-10-19,12:17:00 PM,175.34,8.767,7.7,True,False,False,True,Member
145-94-9061,Cairo,0,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,7:48:00 PM,441.8,22.09,9.6,False,False,False,False,Member
848-62-7243,Alex,0,Female,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,3:36:00 PM,224.01,11.2005,7.4,False,False,False,True,Member
